model,dataset,setting,n,concordance,se
gemma,upper,base,80,0.617298601191471,0.009860003704058014
gemma,upper,s1,47,0.6618954058753349,0.011318943277384495
gemma,upper,s2,80,0.6878297458590116,0.010127086948788045
gemma,upper,s3,80,0.7101942103262553,0.00995615298268717
gemma,upper,s4,80,0.7849366963635426,0.005970220528583519
gemma,upper,s7,80,0.8090693242057112,0.004532615072541776
gemma,multi,base,80,0.6242651636048933,0.00857031459177092
gemma,multi,s2,80,0.7877667873078569,0.005585504489998844
gemma,multi,s3,80,0.7607822273549264,0.006237969337531797
gemma,multi,s4,80,0.8013758678879338,0.004948470141333916
gemma,multi,s7,80,0.8313098873383847,0.004697448580581895
qwen,upper,base,80,0.6202568061162511,0.007477705086557491
qwen,upper,s2,80,0.7231750138814462,0.008560273303812427
qwen,upper,s3,80,0.7508441137746573,0.006912112778240004
qwen,upper,s4,80,0.797087327431713,0.005609850953057031
qwen,upper,s7,80,0.8189713162079926,0.005756325568034404
qwen,multi,base,80,0.6388905601092051,0.006551361377764291
qwen,multi,s2,80,0.7463479550102082,0.006337950484463894
qwen,multi,s3,80,0.7745080147740454,0.006662859520753601
qwen,multi,s4,80,0.8069294164833881,0.005655917354392885
qwen,multi,s7,80,0.8044682445215445,0.0055459593202685205
