model,task,split,base_val_roc,ra_self,ra_neg,ra_best,flora,winner,conv_sensitive,nbase,n_flora
gemma-2-2b,ifeval,test,47.96565987455167,50.26171643066962,49.321154153897034,50.26171643066962,65.66068268373819,FLORA,False,99,99
qwen-3.5-9b,HE-upper,train,80.01797668906185,85.02426605750782,85.63763896360051,85.63763896360051,83.77453352508297,RankAlign,False,80,80
qwen-3.5-9b,HE-upper,test,81.72048910767141,87.25122025187359,90.22015782405975,90.22015782405975,88.90724109825103,RankAlign,True,82,82
qwen-3.5-9b,HE-multi,train,82.46589189961443,93.7920129473701,95.64224267795696,95.64224267795696,88.64427437641723,RankAlign,False,80,80
gemma-2-9b-it,ifeval,test,82.9042821640801,50.26971075529858,47.29694571778623,50.26971075529858,79.02059259370519,FLORA,False,99,99
gemma-2-9b-it,ifeval,train,83.40061717022286,49.144148855316985,48.43594088477774,49.144148855316985,83.68631360053013,FLORA,False,79,79
qwen-3.5-9b,HE-multi,test,83.43836314160663,93.06632316257752,96.50569037287627,96.50569037287627,89.84863822630271,RankAlign,False,82,82
gemma-4-31b,HE-multi,train,85.8869695322992,92.88462845152405,94.8136484547199,94.8136484547199,92.28519654948228,RankAlign,False,80,80
gemma-4-31b,HE-multi,test,86.23358494192681,90.57004890193043,93.26007678925798,93.26007678925798,91.95223089520076,RankAlign,True,82,82
qwen-3.5-9b,ifeval,test,87.52254701335225,72.84913698381237,65.25326368524009,72.84913698381237,82.48890968774766,FLORA,False,99,99
qwen-3.5-9b,ifeval,train,88.11829921507663,72.52287895409908,68.832870782509,72.52287895409908,85.78353243964149,FLORA,False,79,79
gemma-2-2b,hyponymy,test,89.68169557341469,80.81860311370714,nan,80.81860311370714,79.30159571639447,RankAlign,False,10,10
gemma-2-2b-it,hyponymy,test,90.27499088215423,78.17147201033575,nan,78.17147201033575,83.94556383777022,FLORA,False,10,10
gemma-4-31b,HE-upper,train,90.47221350078493,87.67019714107626,88.19772811895064,88.19772811895064,94.11557471832197,FLORA,False,80,80
gemma-4-31b,HE-upper,test,90.767334718772,78.36831492266776,72.88781655943217,78.36831492266776,94.77157438439208,FLORA,False,82,82
gemma-2-9b-it,hyponymy,test,94.90060964010476,89.58283197835058,86.36712276936905,89.58283197835058,92.58401104183169,FLORA,False,10,10
qwen-3.5-9b,hyponymy,test,95.63961654349278,83.22699065295677,82.24394382278768,83.22699065295677,88.23415910946191,FLORA,False,10,10
gemma-2-9b-it,hyponymy,train,96.50671557935593,94.47004566175093,86.85178908306183,94.47004566175093,96.63546887235009,FLORA,False,68,68
qwen-3.5-9b,hyponymy,train,97.81614360416323,87.99357621793474,83.38228188434246,87.99357621793474,97.52395093966712,FLORA,False,68,68
