group,setting,total_loss_mean,pref_loss_mean,nll_g_mean,nll_v_mean,total_steps,score_gen_i_final,score_gen_j_final,gen_spread_final,score_val_i_final,score_val_j_final,val_spread_final,diff_final
Gemma IFEval,s1,5.99287914550644,0.0,5.992667728635682,0.00021140221534282906,2000,-1265.9550224887557,-5.992667728635682,-1259.96235476012,-1265.9550224887557,-5.992667728635682,-1259.96235476012,1260.8785607196403
Gemma IFEval,s2,11.556321448650674,11.556321448650674,3119.7901049475263,0.0,2000,,,,-6528.104572713643,-5909.075337331335,-619.0292353823088,618.6146926536732
Gemma IFEval,s3,6.396324601309232,2.6394010026236883,3.7556456146926536,0.0012779924117944676,2000,-1337.9679535232383,-511.4954319715142,-826.4725215517242,-1337.9679535232383,-511.4954319715142,-826.4725215517242,826.7582458770614
Gemma IFEval,s4,6.146369498408942,1.8073089109048412,4.330256746626687,0.008803837029249414,2000,-757.0633433283358,-355.506371814093,-401.5569715142429,-123.1088710596179,281.92069425111055,-405.0295653107284,405.0295657453866
Gemma IFEval,s7,5.133858250914418,1.3660384942249597,3.766866566716642,0.0009531888055211601,2000,-863.2008995502249,-344.74943778110946,-518.4514617691154,-285.66820860695447,199.1850097661969,-484.8532183731514,484.85321814152434
Qwen Membership,s1,2.754500528504287,0.0,2.754392335082459,0.00010819772238852917,2000,-19.9967203898051,-2.754392335082459,-17.242328054722638,-19.9967203898051,-2.754392335082459,-17.242328054722638,17.24287856071964
Qwen Membership,s2,0.03648090505528486,0.03648090505528486,2.417283545727136,0.0,2000,,,,-20.217953523238382,-8.1916815029985,-12.02627202023988,12.026002623688155
Qwen Membership,s3,0.8155413642637376,0.04273723733836207,0.7727464392803598,5.768755565340194e-05,2000,-16.986366191904047,-6.734656109445277,-10.251710082458771,-16.986366191904047,-6.734656109445277,-10.251710082458771,10.250374812593703
Qwen Membership,s4,0.7988630017395598,0.03171023125046726,0.7671125374812594,4.023018626795001e-05,2000,-20.029633620689655,-8.577867316341829,-11.451766304347826,7.598021545867691,19.702323673368394,-12.104302127500702,12.104302127500702
Qwen Membership,s7,0.7747941240471345,0.05431700784678634,0.7204073744377811,6.974181313922202e-05,2000,-20.98128279610195,-8.855910911731634,-12.125371884370315,8.607981294348859,19.484487925333596,-10.87650663098474,10.87650663098474
