method_num,method,column,mean,se,n,note
0,Base,Raw,,,0,missing 10/10
0,Base,PMI self,,,0,missing 10/10
0,Base,PMI base,,,0,missing 10/10
0,Base,Neg self,,,0,missing 10/10
0,Base,Neg base,,,0,missing 10/10
1,SFT labelonly 10%,Raw,84.1433260085879,1.6019252770911907,10,OK
1,SFT labelonly 10%,PMI self,,,0,missing 10/10
1,SFT labelonly 10%,PMI base,84.36265588314126,1.4079012364722865,10,OK
1,SFT labelonly 10%,Neg self,,,0,missing 10/10
1,SFT labelonly 10%,Neg base,82.0613646554936,1.2517890173381583,10,OK
2,RankAlign,Raw,90.15632180853157,1.380565412649855,10,OK
2,RankAlign,PMI self,,,0,missing 10/10
2,RankAlign,PMI base,89.54998717524184,1.499964417936071,10,OK
2,RankAlign,Neg self,,,0,missing 10/10
2,RankAlign,Neg base,84.80379699180173,2.000914635838587,10,OK
3,New + fsx [-TC],Raw,89.28322217075055,1.5355342721831504,10,OK
3,New + fsx [-TC],PMI self,,,0,missing 10/10
3,New + fsx [-TC],PMI base,88.59079873444492,1.1980795376805253,10,OK
3,New + fsx [-TC],Neg self,,,0,missing 10/10
3,New + fsx [-TC],Neg base,83.78716045843558,1.5972070468503203,10,OK
4,New + PMI + fsx,Raw,88.65530036116806,1.6666635377029773,10,OK
4,New + PMI + fsx,PMI self,,,0,missing 10/10
4,New + PMI + fsx,PMI base,92.60434861256,1.3128430662518016,10,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,,,0,missing 10/10
5,RA + PMI + fsx [-NLL],PMI self,,,0,missing 10/10
5,RA + PMI + fsx [-NLL],PMI base,,,0,missing 10/10
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,,,0,missing 10/10
6,RA + PMI [+TC],PMI self,,,0,missing 10/10
6,RA + PMI [+TC],PMI base,,,0,missing 10/10
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
11,New + PMI [-fsx],Raw,,,0,missing 10/10
11,New + PMI [-fsx],PMI self,,,0,missing 10/10
11,New + PMI [-fsx],PMI base,,,0,missing 10/10
11,New + PMI [-fsx],Neg self,,,0,NA per template
11,New + PMI [-fsx],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,85.15404179721266,1.9831983683357524,10,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,,,0,missing 10/10
7,New + NegTC + fsx,Neg base,92.0159979499208,1.3388999871022604,10,OK
8,RA + NegTC + fsx [-NLL],Raw,,,0,missing 10/10
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,,,0,missing 10/10
8,RA + NegTC + fsx [-NLL],Neg base,,,0,missing 10/10
9,RA + NegTC [+TC],Raw,,,0,missing 10/10
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,,,0,missing 10/10
9,RA + NegTC [+TC],Neg base,,,0,missing 10/10
12,New + NegTC [-fsx],Raw,,,0,missing 10/10
12,New + NegTC [-fsx],PMI self,,,0,NA per template
12,New + NegTC [-fsx],PMI base,,,0,NA per template
12,New + NegTC [-fsx],Neg self,,,0,missing 10/10
12,New + NegTC [-fsx],Neg base,,,0,missing 10/10
13,SFT + CFT,Raw,,,0,missing 10/10
13,SFT + CFT,PMI self,,,0,missing 10/10
13,SFT + CFT,PMI base,,,0,missing 10/10
13,SFT + CFT,Neg self,,,0,missing 10/10
13,SFT + CFT,Neg base,,,0,missing 10/10
