method_num,method,column,mean,se,n,note
0,Base,Raw,58.15141970213658,2.5136594617515153,10,OK
0,Base,PMI self,73.55242288411382,2.188631305305842,10,OK
0,Base,PMI base,,,0,missing 10/10
0,Base,Neg self,73.76013852625888,2.723356508498144,10,OK
0,Base,Neg base,,,0,missing 10/10
1,SFT labelonly 10%,Raw,82.9189220228387,1.8779771817146778,10,OK
1,SFT labelonly 10%,PMI self,82.64460818397484,1.8539016652398665,10,OK
1,SFT labelonly 10%,PMI base,81.26967384694197,1.8154196302348737,10,OK
1,SFT labelonly 10%,Neg self,84.22242380661262,3.013728938341735,10,OK
1,SFT labelonly 10%,Neg base,80.73218659088488,1.8994616931659087,10,OK
2,RankAlign,Raw,87.24336024283754,1.5416996229841469,10,OK
2,RankAlign,PMI self,89.13762403459847,2.0057952529951564,10,OK
2,RankAlign,PMI base,82.64652914796007,2.0644289485584406,10,OK
2,RankAlign,Neg self,85.65470028865516,2.558947461084685,10,OK
2,RankAlign,Neg base,82.29797338957565,1.9502408615072044,10,OK
3,New + fsx [-TC],Raw,87.68590049453614,1.573642258791301,10,OK
3,New + fsx [-TC],PMI self,86.0495191119805,1.9096087254706493,10,OK
3,New + fsx [-TC],PMI base,81.86760820901483,1.8095178176767681,10,OK
3,New + fsx [-TC],Neg self,85.79812819228255,2.6563435240445665,10,OK
3,New + fsx [-TC],Neg base,80.99844916350843,1.9915744901919274,10,OK
4,New + PMI + fsx,Raw,82.69579722768704,2.101759360998272,10,OK
4,New + PMI + fsx,PMI self,86.07078630995184,1.9825463976438495,10,OK
4,New + PMI + fsx,PMI base,86.8728812019308,1.965757460866638,10,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,,,0,missing 10/10
5,RA + PMI + fsx [-NLL],PMI self,,,0,missing 10/10
5,RA + PMI + fsx [-NLL],PMI base,,,0,missing 10/10
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,,,0,missing 10/10
6,RA + PMI [+TC],PMI self,,,0,missing 10/10
6,RA + PMI [+TC],PMI base,,,0,missing 10/10
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
11,New + PMI [-fsx],Raw,,,0,missing 10/10
11,New + PMI [-fsx],PMI self,,,0,missing 10/10
11,New + PMI [-fsx],PMI base,,,0,missing 10/10
11,New + PMI [-fsx],Neg self,,,0,NA per template
11,New + PMI [-fsx],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,82.6641375679007,2.3069541910989457,10,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,,,0,missing 10/10
7,New + NegTC + fsx,Neg base,86.70324038208246,2.2898485154618977,10,OK
8,RA + NegTC + fsx [-NLL],Raw,,,0,missing 10/10
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,,,0,missing 10/10
8,RA + NegTC + fsx [-NLL],Neg base,,,0,missing 10/10
9,RA + NegTC [+TC],Raw,,,0,missing 10/10
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,,,0,missing 10/10
9,RA + NegTC [+TC],Neg base,,,0,missing 10/10
12,New + NegTC [-fsx],Raw,,,0,missing 10/10
12,New + NegTC [-fsx],PMI self,,,0,NA per template
12,New + NegTC [-fsx],PMI base,,,0,NA per template
12,New + NegTC [-fsx],Neg self,,,0,missing 10/10
12,New + NegTC [-fsx],Neg base,,,0,missing 10/10
13,SFT + CFT,Raw,,,0,missing 10/10
13,SFT + CFT,PMI self,,,0,missing 10/10
13,SFT + CFT,PMI base,,,0,missing 10/10
13,SFT + CFT,Neg self,,,0,missing 10/10
13,SFT + CFT,Neg base,,,0,missing 10/10
