method_num,method,column,mean,se,n,note
0,Base,Raw,40.005266666666664,5.712310229826263,6,OK
0,Base,PMI self,37.825966666666666,3.8859171582923793,6,OK
0,Base,PMI base,,,0,NA per template
0,Base,Neg self,73.88983333333333,7.515000275611735,6,OK
0,Base,Neg base,,,0,NA per template
1,SFT labelonly 10%,Raw,64.82223333333333,12.288281477507114,6,OK
1,SFT labelonly 10%,PMI self,,,0,NA per template
1,SFT labelonly 10%,PMI base,71.54456666666667,11.345990203464444,6,OK
1,SFT labelonly 10%,Neg self,,,0,NA per template
1,SFT labelonly 10%,Neg base,76.7081,9.406160775116135,6,OK
2,RankAlign,Raw,69.9536,9.94540053733383,6,OK
2,RankAlign,PMI self,,,0,NA per template
2,RankAlign,PMI base,86.56576666666666,4.052349482268832,6,OK
2,RankAlign,Neg self,,,0,NA per template
2,RankAlign,Neg base,91.45196666666668,2.864872157900088,6,OK
3,New + fsx [-TC],Raw,57.20923333333334,9.493237030843472,6,OK
3,New + fsx [-TC],PMI self,,,0,NA per template
3,New + fsx [-TC],PMI base,67.16316666666667,6.6718237303687165,6,OK
3,New + fsx [-TC],Neg self,,,0,NA per template
3,New + fsx [-TC],Neg base,76.8182,3.965498980624422,6,OK
4,New + PMI + fsx,Raw,59.28229999999999,9.478817259658507,6,OK
4,New + PMI + fsx,PMI self,,,0,NA per template
4,New + PMI + fsx,PMI base,75.67753333333333,5.465090870770382,6,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,61.205400000000004,10.202405093179417,6,OK
5,RA + PMI + fsx [-NLL],PMI self,,,0,NA per template
5,RA + PMI + fsx [-NLL],PMI base,81.34643333333334,6.337563234433596,6,OK
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,60.12546666666668,10.125989490766377,6,OK
6,RA + PMI [+TC],PMI self,,,0,NA per template
6,RA + PMI [+TC],PMI base,79.9586,6.471048108820291,6,OK
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,57.56893333333333,9.547893881782398,6,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,,,0,NA per template
7,New + NegTC + fsx,Neg base,82.42739999999999,2.9822377522033157,6,OK
8,RA + NegTC + fsx [-NLL],Raw,58.66153333333333,10.81757822727024,6,OK
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg base,87.3182,4.286523639500895,6,OK
9,RA + NegTC [+TC],Raw,60.1689,10.22302119998454,6,OK
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,,,0,NA per template
9,RA + NegTC [+TC],Neg base,90.1893,3.4217242069849334,6,OK
