method_num,method,column,mean,se,n,note
0,Base,Raw,-7.984687162017153,9.988573744781023,6,OK
0,Base,PMI self,-11.103248533811803,8.073526385188423,6,OK
0,Base,PMI base,,,0,NA per template
0,Base,Neg self,18.456924320453137,2.1941345579303926,6,OK
0,Base,Neg base,,,0,NA per template
1,SFT labelonly 10%,Raw,34.59909479402894,12.915737611372512,6,OK
1,SFT labelonly 10%,PMI self,40.68280973351762,11.06267918181419,6,OK
1,SFT labelonly 10%,PMI base,41.76102202144882,12.059873767132649,6,OK
1,SFT labelonly 10%,Neg self,54.622736122670595,3.9326668175716257,6,OK
1,SFT labelonly 10%,Neg base,45.365645077361705,11.102437421400191,6,OK
2,RankAlign,Raw,33.08950640177701,15.872729844074247,6,OK
2,RankAlign,PMI self,43.46097692217912,7.573506102032075,6,OK
2,RankAlign,PMI base,54.000795884128394,4.506493242473927,6,OK
2,RankAlign,Neg self,66.43100122054237,3.709794131461191,6,OK
2,RankAlign,Neg base,61.08633681144992,2.3074188426073667,6,OK
3,New + fsx [-TC],Raw,10.817442131350427,14.867763014226867,6,OK
3,New + fsx [-TC],PMI self,6.820299671618579,11.965014510504698,6,OK
3,New + fsx [-TC],PMI base,17.981793383769645,12.278263058845106,6,OK
3,New + fsx [-TC],Neg self,48.07783184313041,3.0948953901013394,6,OK
3,New + fsx [-TC],Neg base,38.4477338014,6.301563889676578,6,OK
4,New + PMI + fsx,Raw,16.254262442795575,14.989920345245222,6,OK
4,New + PMI + fsx,PMI self,11.456955461186283,9.890264282212124,6,OK
4,New + PMI + fsx,PMI base,38.86417853338843,10.163415510886038,6,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,21.12234515967789,14.377344400621732,6,OK
5,RA + PMI + fsx [-NLL],PMI self,45.298181540433724,7.744272339847025,6,OK
5,RA + PMI + fsx [-NLL],PMI base,65.84103401921585,5.972249687643655,6,OK
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,19.458227603658028,14.765690936860876,6,OK
6,RA + PMI [+TC],PMI self,41.003628622853945,8.687732518733073,6,OK
6,RA + PMI [+TC],PMI base,64.1518811433458,6.519250403193957,6,OK
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,11.529782756970794,15.941842833842886,6,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,60.4461591831601,2.195857600793927,6,OK
7,New + NegTC + fsx,Neg base,47.29646283085811,6.086678351848015,6,OK
8,RA + NegTC + fsx [-NLL],Raw,15.675044081734791,14.766088593511732,6,OK
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,63.979329278931885,1.9001702476841178,6,OK
8,RA + NegTC + fsx [-NLL],Neg base,69.45366372422133,3.704705446899935,6,OK
9,RA + NegTC [+TC],Raw,15.928517463716785,14.753043753461426,6,OK
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,50.809209986304325,2.9826189140789072,6,OK
9,RA + NegTC [+TC],Neg base,69.28830036944309,3.692918859523941,6,OK
