method_num,method,column,mean,se,n,note
0,Base,Raw,32.00633333333334,4.245853698740822,3,OK
0,Base,PMI self,32.20273333333333,5.853741888551097,3,OK
0,Base,PMI base,,,0,NA per template
0,Base,Neg self,55.78986666666666,3.7420820627619134,3,OK
0,Base,Neg base,,,0,NA per template
1,SFT labelonly 10%,Raw,48.656533333333336,6.920033204480388,3,OK
1,SFT labelonly 10%,PMI self,56.63686666666666,6.106159024387679,3,OK
1,SFT labelonly 10%,PMI base,55.5002,7.364728389651131,3,OK
1,SFT labelonly 10%,Neg self,86.61126666666667,6.350904851366545,3,OK
1,SFT labelonly 10%,Neg base,62.1764,8.97989776630744,3,OK
2,RankAlign,Raw,49.1874,8.024384488129504,3,OK
2,RankAlign,PMI self,66.545,3.914405928532875,3,OK
2,RankAlign,PMI base,78.24393333333333,2.436516612798779,3,OK
2,RankAlign,Neg self,95.76186666666668,2.3194269531742346,3,OK
2,RankAlign,Neg base,86.25666666666667,1.0072349565904535,3,OK
3,New + fsx [-TC],Raw,34.39293333333334,6.837837983196475,3,OK
3,New + fsx [-TC],PMI self,40.19426666666667,3.8206024975708264,3,OK
3,New + fsx [-TC],PMI base,43.1808,4.215579586881657,3,OK
3,New + fsx [-TC],Neg self,84.57539999999999,4.540618446863822,3,OK
3,New + fsx [-TC],Neg base,64.41653333333333,3.0177468909399585,3,OK
4,New + PMI + fsx,Raw,36.9578,5.927128418832623,3,OK
4,New + PMI + fsx,PMI self,42.032466666666664,3.5610424734588335,3,OK
4,New + PMI + fsx,PMI base,55.953466666666664,3.163471494699735,3,OK
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,43.651533333333326,6.3256270775666525,3,OK
5,RA + PMI + fsx [-NLL],PMI self,63.09233333333333,2.2722300832246507,3,OK
5,RA + PMI + fsx [-NLL],PMI base,78.31580000000001,3.435948119515198,3,OK
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,42.64126666666667,6.523399359570472,3,OK
6,RA + PMI [+TC],PMI self,59.23126666666667,1.083544322018153,3,OK
6,RA + PMI [+TC],PMI base,76.42366666666665,1.688621111373939,3,OK
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,33.6202,5.212579500912514,3,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,84.96493333333332,2.7509346104753383,3,OK
7,New + NegTC + fsx,Neg base,66.21633333333334,1.115595603752144,3,OK
8,RA + NegTC + fsx [-NLL],Raw,39.449,5.787176869597126,3,OK
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,85.63113333333332,1.3357572850051915,3,OK
8,RA + NegTC + fsx [-NLL],Neg base,83.94866666666667,1.8969826192608599,3,OK
9,RA + NegTC [+TC],Raw,40.312533333333334,5.677654924741767,3,OK
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,81.3556,2.3075304750605845,3,OK
9,RA + NegTC [+TC],Neg base,85.5102,2.2977484747755454,3,OK
