method_num,method,column,mean,se,n,note
0,Base,Raw,66.9080401183545,2.5453768227769045,10,OK
0,Base,PMI self,77.72928390793307,2.1838901562461905,10,OK
0,Base,PMI base,,,0,missing 10/10
0,Base,Neg self,81.20060304469581,3.971455144692743,10,OK
0,Base,Neg base,,,0,missing 10/10
1,SFT labelonly 10%,Raw,74.5998786001537,2.0834486431396546,10,OK
1,SFT labelonly 10%,PMI self,84.8716012483442,1.5200425568295384,10,OK
1,SFT labelonly 10%,PMI base,,,0,missing 10/10
1,SFT labelonly 10%,Neg self,,,0,missing 10/10
1,SFT labelonly 10%,Neg base,,,0,missing 10/10
2,RankAlign,Raw,86.85936531943489,1.5718693617536952,10,OK
2,RankAlign,PMI self,90.0995642026159,1.7202420323109426,10,OK
2,RankAlign,PMI base,,,0,missing 10/10
2,RankAlign,Neg self,,,0,missing 10/10
2,RankAlign,Neg base,,,0,missing 10/10
3,New + fsx [-TC],Raw,90.20549188720295,1.4265819471920052,10,OK
3,New + fsx [-TC],PMI self,92.05929036838268,1.3518084331804472,10,OK
3,New + fsx [-TC],PMI base,,,0,missing 10/10
3,New + fsx [-TC],Neg self,88.61019464057873,2.730687532651405,10,OK
3,New + fsx [-TC],Neg base,,,0,missing 10/10
4,New + PMI + fsx,Raw,88.2589164373763,1.769555094488325,10,OK
4,New + PMI + fsx,PMI self,92.56081930478067,1.4673575823572367,10,OK
4,New + PMI + fsx,PMI base,,,0,missing 10/10
4,New + PMI + fsx,Neg self,,,0,NA per template
4,New + PMI + fsx,Neg base,,,0,NA per template
5,RA + PMI + fsx [-NLL],Raw,84.50142854521174,2.1578885584006455,10,OK
5,RA + PMI + fsx [-NLL],PMI self,91.69013020338365,1.7120750902545014,10,OK
5,RA + PMI + fsx [-NLL],PMI base,,,0,missing 10/10
5,RA + PMI + fsx [-NLL],Neg self,,,0,NA per template
5,RA + PMI + fsx [-NLL],Neg base,,,0,NA per template
6,RA + PMI [+TC],Raw,,,0,missing 10/10
6,RA + PMI [+TC],PMI self,,,0,missing 10/10
6,RA + PMI [+TC],PMI base,,,0,missing 10/10
6,RA + PMI [+TC],Neg self,,,0,NA per template
6,RA + PMI [+TC],Neg base,,,0,NA per template
11,New + PMI [-fsx],Raw,,,0,missing 10/10
11,New + PMI [-fsx],PMI self,,,0,missing 10/10
11,New + PMI [-fsx],PMI base,,,0,missing 10/10
11,New + PMI [-fsx],Neg self,,,0,NA per template
11,New + PMI [-fsx],Neg base,,,0,NA per template
7,New + NegTC + fsx,Raw,79.10102371923358,2.5171766532036752,10,OK
7,New + NegTC + fsx,PMI self,,,0,NA per template
7,New + NegTC + fsx,PMI base,,,0,NA per template
7,New + NegTC + fsx,Neg self,88.93198925921385,2.6417503257548796,10,OK
7,New + NegTC + fsx,Neg base,,,0,missing 10/10
8,RA + NegTC + fsx [-NLL],Raw,78.33320291404564,2.5714383689571254,10,OK
8,RA + NegTC + fsx [-NLL],PMI self,,,0,NA per template
8,RA + NegTC + fsx [-NLL],PMI base,,,0,NA per template
8,RA + NegTC + fsx [-NLL],Neg self,88.11718431165761,2.646704630017082,10,OK
8,RA + NegTC + fsx [-NLL],Neg base,,,0,missing 10/10
9,RA + NegTC [+TC],Raw,,,0,missing 10/10
9,RA + NegTC [+TC],PMI self,,,0,NA per template
9,RA + NegTC [+TC],PMI base,,,0,NA per template
9,RA + NegTC [+TC],Neg self,,,0,missing 10/10
9,RA + NegTC [+TC],Neg base,,,0,missing 10/10
12,New + NegTC [-fsx],Raw,,,0,missing 10/10
12,New + NegTC [-fsx],PMI self,,,0,NA per template
12,New + NegTC [-fsx],PMI base,,,0,NA per template
12,New + NegTC [-fsx],Neg self,,,0,missing 10/10
12,New + NegTC [-fsx],Neg base,,,0,missing 10/10
